x,y,senti,text,topic,created_at
0,0,0.9532353448399272,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:39:55 +0000 2017
1,0,0.27844707982548866,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:40:01 +0000 2017
2,0,0.6891736415482794,Zika: Mild epidemic in the US could cost in the hundreds of millions https://t.co/oXNdFPBCse,cost,Wed May 03 23:40:09 +0000 2017
3,0,0.08412249274161043,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:40:14 +0000 2017
4,0,0.27943704323571694,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:40:20 +0000 2017
5,0,0.2666833353008995,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:40:29 +0000 2017
6,0,0.5805894996867643,"RT @XHNews: New test easily, rapidly detects #Zika at low cost: study https://t.co/dKymWl9L2b https://t.co/t9f3OhTclG",travel,Wed May 03 23:40:59 +0000 2017
7,0,0.08107394510996757,Cheap Test Might Pinpoint Where Zika Mosquitoes Lurk stat : Philly https://t.co/tQzkbgT5F7,cost,Wed May 03 23:41:17 +0000 2017
8,0,0.04535337599865563,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:41:21 +0000 2017
9,0,0.6325053147912728,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:41:26 +0000 2017
10,0,0.28460829711638613,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:41:42 +0000 2017
11,0,0.23526655825776477,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:41:42 +0000 2017
12,0,0.851386874824245,#Zika: Mild #epidemic in the US could cost in the hundreds of millions // #health #preparedness https://t.co/aHPaZbNKSC,cost,Wed May 03 23:41:51 +0000 2017
13,0,0.005560171949009929,Zika Epidemic in U.S. Could Be a Costly Scenario #Pharmaceutical https://t.co/PM1RcFNMQN,cost,Wed May 03 23:42:03 +0000 2017
